id	name	QOL	PPI	SI	HI	COLI	PPIR	TI	PI	CI
534	Sint Maarten (Dutch part)	no data	no data	no data	no data	no data	no data	no data	no data	no data
535	"Bonaire, Sint Eustatius and Saba"	no data	no data	no data	no data	no data	no data	no data	no data	no data
540	New Caledonia	no data	no data	no data	no data	no data	no data	no data	no data	no data
548	Vanuatu	no data	no data	no data	no data	no data	no data	no data	no data	no data
554	New Zealand	176.81	83.63	56.7	73.32	74.52	7.96	30.78	23.62	96.69
558	Nicaragua	no data	no data	no data	no data	no data	no data	no data	no data	no data
562	Niger	no data	no data	no data	no data	no data	no data	no data	no data	no data
566	Nigeria	52.44	9.34	36.16	48.49	30.49	16.11	61.97	88.32	60.75
570	Niue	no data	no data	no data	no data	no data	no data	no data	no data	no data
574	Norfolk Island	no data	no data	no data	no data	no data	no data	no data	no data	no data
578	Norway	176.39	83.11	66.15	76.83	100.9	8.04	26.91	17.95	68.68
580	Northern Mariana Islands	no data	no data	no data	no data	no data	no data	no data	no data	no data
581	United States Minor Outlying Islands	no data	no data	no data	no data	no data	no data	no data	no data	no data
583	"Micronesia, Federated States of"	no data	no data	no data	no data	no data	no data	no data	no data	no data
584	Marshall Islands	no data	no data	no data	no data	no data	no data	no data	no data	no data
585	Palau	no data	no data	no data	no data	no data	no data	no data	no data	no data
586	Pakistan	102.57	26.63	57.99	59.58	19.92	14.33	37.84	73.67	70.36
591	Panama	114.32	33.09	56.08	61.15	51.43	11.18	37.12	58.72	67.84
598	Papua New Guinea	no data	no data	no data	no data	no data	no data	no data	no data	no data
600	Paraguay	no data	no data	no data	no data	no data	no data	no data	no data	no data
604	Peru	80.42	28.17	32.9	56.2	32.53	19.45	48.76	82.88	97.69
608	Philippines	83.74	21.47	57.67	67.53	37.06	29.64	43.11	73.36	69.32
612	Pitcairn	no data	no data	no data	no data	no data	no data	no data	no data	no data
616	Poland	140.02	59.95	70.21	57.76	38.95	11.21	31.81	54.74	76.03
620	Portugal	162.52	46.8	69.42	71.97	47.94	12.25	29.85	30.48	97.77
624	Guinea-Bissau	no data	no data	no data	no data	no data	no data	no data	no data	no data
626	Timor-Leste	no data	no data	no data	no data	no data	no data	no data	no data	no data
630	Puerto Rico	133.77	72.78	37.8	57.72	66.53	4	34.16	50.03	71.25
634	Qatar	154.53	93.67	86.22	73.53	62.81	6.18	30.15	59.9	36.03
638	Réunion	no data	no data	no data	no data	no data	no data	no data	no data	no data
642	Romania	133.38	48.12	71.21	56.21	35.24	10.44	33.56	58.64	77.62
643	Russian Federation	103.28	37.41	60.38	59.08	35.26	14.84	44.5	61.8	48.95
646	Rwanda	no data	no data	no data	no data	no data	no data	no data	no data	no data
652	Saint Barthélemy	no data	no data	no data	no data	no data	no data	no data	no data	no data
654	"Saint Helena, Ascension and Tristan da Cunha"	no data	no data	no data	no data	no data	no data	no data	no data	no data
659	Saint Kitts and Nevis	no data	no data	no data	no data	no data	no data	no data	no data	no data
660	Anguilla	no data	no data	no data	no data	no data	no data	no data	no data	no data
662	Saint Lucia	no data	no data	no data	no data	no data	no data	no data	no data	no data
663	Saint Martin (French part)	no data	no data	no data	no data	no data	no data	no data	no data	no data
